C_SU_NAMES
C_SU_ID,cdp,cdpt,numa,vuma,tnmo,dpth,vnmo,tnmo,dpth,vnmo
Q,136,1,3136.000,1136.000,0.000,15136.000,10136.000,0.004,25015.000,20015.000,0.008,35002.000,30002.000,0.012,45000.000,40000.000
Q,172,1,3172.000,1172.000,0.000,15172.000,10172.000,0.004,25051.000,20051.000,0.008,35002.000,30002.000
Q,182,1,3182.000,1182.000,0.000,15182.000,10182.000,0.004,25061.000,20061.000,0.008,35002.000,30002.000,0.012,45000.000,40000.000
Q,212,1,3212.000,1212.000,0.000,15212.000,10212.000,0.004,25091.000,20091.000
Q,232,1,3232.000,1232.000,0.000,15232.000,10232.000,0.004,25111.000,20111.000,,,
Q,257,1,3257.000,1257.000,0.000,15257.000,10257.000,0.004,25015.000,20015.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,293,1,3293.000,1293.000,0.000,15293.000,10293.000,0.004,25051.000,20051.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,303,1,3303.000,1303.000,0.000,15303.000,10303.000,0.004,25061.000,20061.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000,0.2,55000,50000
Q,333,1,3333.000,1333.000,0.000,15333.000,10333.000,0.004,25091.000,20091.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,353,1,3353.000,1353.000,0.000,15353.000,10353.000,0.004,25111.000,20111.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,620,1,3620.000,1620.000,0.000,15620.000,10620.000,0.004,25015.000,20015.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000,,,
Q,656,1,3656.000,1656.000,0.000,15656.000,10656.000,0.004,25051.000,20051.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
Q,666,1,3666.000,1666.000,0.000,15666.000,10666.000,0.004,25061.000,20061.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000,,,,,,
Q,696,1,3696.000,1696.000,0.000,15696.000,10696.000,0.004,25091.000,20091.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
Q,716,1,3716.000,1716.000,0.000,15716.000,10716.000,0.004,25111.000,20111.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
