C_SU_SETID,Q,,,,,,,,,,
C_SU_FORMS,,,,,,,,,,,
C_SU_ID,%.2f,%.2f,%.1f,%.1f,%.1f,%.1f,%.1f,%.1f,%.1f,%.1f,%.1f
C_SU_NAMES,,,,,,,,,,,
C_SU_ID,2_grnofr_11,12_grnlof_21,47_sx_55,56_sy_65,vw,zw_true,vb,zb_true,vc,zc_true,vd
Q,100,101,338887.1,5540691.4,610,15,1200,100,2200,200,3000
Q,100,161,338888.3,5542192.5,610,15,1200,100,2200,200,3300
Q,100,181,338887.3,5542690.8,610,15,1200,100,2200,200,3000
Q,100,221,339180.7,5543602.3,610,15,1200,100,2200,200,3000
Q,100,261,339733.4,5544434.1,610,15,1200,100,2200,200,3000
Q,100,301,339845.9,5545385.8,610,15,1200,100,2200,200,3000
Q,100,341,339585.4,5546299,610,15,1200,100,2000,200,3000
Q,100,381,338907.6,5547035.1,610,15,1200,100,2200,200,3000
Q,100,421,339346.5,5547909.7,610,15,1000,100,1900,200,3000
Q,100,461,339824.8,5548788.8,610,15,1200,100,2200,200,3000
Q,100,499,340277.3,5549625,610,15,1200,100,2200,200,3000
