C_SU_NAMES
C_SU_ID,cdp,cdpt,offs,tims,offs,tims,offs,tims,offs,tims,offs,tims,offs,tims
Q,136,1,   300,   200,   500,  1360,   900,  1760,  2000,  2500
Q,172,1,   300,   200,   500,  1720,   900,  2120,  2000,  2500,  3000,  3333
Q,182,1,   300,   200,   500,  1820,   900,  2220,  2000,  2500
Q,212,1,   300,   200,   500,  2120,   900,  2520,  2000,  2500
Q,232,1,   300,   200,   500,  2320,   900,  2720,  2000,  2500
Q,257,1,   300,   200,   500,  2570,   900,  2970,  2000,  2500
Q,293,1,   300,   200,   500,  2930,   900,  3330,  2000,  2500
Q,303,1,   300,   200,   500,  3030,   900,  3430,  2000,  2500
Q,333,1,   300,   200,   500,  3330,   900,  3730,  2000,  2500
Q,353,1,   100,   100,   300,   200,   500,  3530,   900,  3930,  2000,  2500,  4444,  5555
Q,620,1,   300,   200,   500,  6200,   900,  6600,  2000,  2500
Q,656,1,   300,   200,   500,  6560,   900,  6960,  2000,  2500
Q,666,1,   300,   200,   500,  6660,   900,  7060,  2000,  2500
Q,696,1,   300,   200,   500,  6960,   900,  7360,  2000,  2500
Q,716,1,   300,   200,   500,  7160,   900,  7560,  2000,  2500
